ご契約名称,ＯｒｉｃｏＣａｒｄ　ＴＨＥ　ＰＬＡＴＩＮＵＭ
お支払日,2023年6月27日
ご請求総額,"\187,986"
1回払い分割払い,"\187,986"
リボルビング払い(ショッピング),"\0"
リボルビング払い(キャッシング),"\0"
調整額,"\0"
<利用明細>
ご利用日,ご利用先など,新旧,ご利用者,支払開始年月,支払区分,お支払回数,何回目,ご利用金額,手数料・利息,年利%,その他,当月ご請求額,翌月繰越残高
2023年5月1日,セブンイレブンソゴウヨココハ／ＩＤ,*,本人,2023年6月,アド,1,1,"\359",,,"\0","\359","\0"
2023年5月1日,セブンイレブンミツイアウトレツ／ＩＤ,*,本人,2023年6月,アド,1,1,"\150",,,"\0","\150","\0"
2023年5月1日,三井アウトレットパーク　木更津,*,本人,2023年6月,アド,1,1,"\18,480",,,"\0","\18,480","\0"
2023年5月1日,三井アウトレットパーク　木更津,*,本人,2023年6月,アド,1,1,"\12,597",,,"\0","\12,597","\0"
2023年5月1日,三井アウトレットパーク　木更津,*,本人,2023年6月,アド,1,1,"\9,055",,,"\0","\9,055","\0"
2023年5月1日,三井アウトレットパーク　木更津,*,本人,2023年6月,アド,1,1,"\7,480",,,"\0","\7,480","\0"
2023年5月3日,スポ－ツデポ／ＩＤ,*,本人,2023年6月,アド,1,1,"\1,760",,,"\0","\1,760","\0"
2023年5月3日,フアミリ－マ－トシンジユクトウホ／ＩＤ,*,本人,2023年6月,アド,1,1,"\143",,,"\0","\143","\0"
2023年5月3日,ベロ－チエ　シンジユクサンチヨウメテ／ＩＤ,*,本人,2023年6月,アド,1,1,"\280",,,"\0","\280","\0"
2023年5月5日,カブシキカイシャナイキジャパン,*,本人,2023年6月,アド,1,1,"\3,999",,,"\0","\3,999","\0"
2023年5月5日,コカ．コ－ラシ－モ－ドジハンキ／ＩＤ,*,本人,2023年6月,アド,1,1,"\160",,,"\0","\160","\0"
2023年5月5日,スイカ　グ－グルペイ,*,本人,2023年6月,アド,1,1,"\580",,,"\0","\220","\0"
2023年5月7日,スイカ　グ－グルペイ,null,本人,2023年6月,アド,,,"\-360",,,, , 
2023年5月6日,ＰＡＹＰＡＬ　＊ＮＩＮＴＥＮＤＯ,*,本人,2023年6月,アド,1,1,"\1,490",,,"\0","\1,490","\0"
2023年5月6日,ＰＡＹＰＡＬ　＊ＮＩＮＴＥＮＤＯ,*,本人,2023年6月,アド,1,1,"\1,386",,,"\0","\1,386","\0"
2023年5月6日,三井アウトレットパーク横浜ベイサイド,*,本人,2023年6月,アド,1,1,"\19,200",,,"\0","\19,200","\0"
2023年5月7日,高島屋,*,本人,2023年6月,アド,1,1,"\8,580",,,"\0","\8,580","\0"
2023年5月8日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年6月,アド,1,1,"\10,478",,,"\0","\10,478","\0"
2023年5月8日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\288",,,"\0","\288","\0"
2023年5月9日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\170",,,"\0","\170","\0"
2023年5月10日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\645",,,"\0","\645","\0"
2023年5月10日,メルカリ,*,本人,2023年6月,アド,1,1,"\5,497",,,"\0","\5,497","\0"
2023年5月11日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年6月,アド,1,1,"\2,872",,,"\0","\2,872","\0"
2023年5月11日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年6月,アド,1,1,"\980",,,"\0","\980","\0"
2023年5月12日,ＭＩＣＲＯＳＯＦＴ＊ＳＵＢＳＣＲＩＰＴＩＯＮＳＩＮＧＡＰＯＲＥ　　　　　　　　　　　１１００　　　　　　　換算レート／　　　１．００００円,*,本人,2023年6月,アド,1,1,"\1,100",,,"\0","\1,100","\0"
2023年5月13日,ソゴウヨコハマテン,*,本人,2023年6月,アド,1,1,"\4,747",,,"\0","\4,747","\0"
2023年5月14日,クアアイナ／ＩＤ,*,本人,2023年6月,アド,1,1,"\1,410",,,"\0","\1,410","\0"
2023年5月14日,スタ－バツクスコ－ヒ－ジヤパン,*,本人,2023年6月,アド,1,1,"\501",,,"\0","\501","\0"
2023年5月15日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\396",,,"\0","\396","\0"
2023年5月17日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\645",,,"\0","\645","\0"
2023年5月17日,トモズ／ＮＦＣ,*,本人,2023年6月,アド,1,1,"\1,270",,,"\0","\1,270","\0"
2023年5月18日,ＰＡＹＰＡＬ　＊ＩＨＥＲＢ　ＬＬＣＵＮＩＴＥＤ　ＳＴＡＴＥＳ　　　　　　　９７６０　　　　　　　換算レート／　　　１．００００円,*,本人,2023年6月,アド,1,1,"\9,760",,,"\0","\9,760","\0"
2023年5月18日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年6月,アド,1,1,"\980",,,"\0","\980","\0"
2023年5月19日,ヨコハマニシグチヘルチエツククリニツク,*,本人,2023年6月,アド,1,1,"\13,200",,,"\0","\13,200","\0"
2023年5月19日,ヨコハマモア－ズ／ＩＤ,*,本人,2023年6月,アド,1,1,"\1,800",,,"\0","\1,800","\0"
2023年5月20日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\213",,,"\0","\213","\0"
2023年5月20日,ＰＡＹＰＡＬ　＊ＰＳ　ＮＥＴＷＯＲＫ,*,本人,2023年6月,アド,1,1,"\5,143",,,"\0","\5,143","\0"
2023年5月20日,ジェクサーフィットネスアンドスパヨコハマ,*,本人,2023年6月,アド,1,1,"\440",,,"\0","\440","\0"
2023年5月20日,ス－パ－マ－ケツトブンカドウシヤルヨコハマア,*,本人,2023年6月,アド,1,1,"\537",,,"\0","\537","\0"
2023年5月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年6月,アド,1,1,"\2,661",,,"\0","\2,661","\0"
2023年5月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年6月,アド,1,1,"\2,660",,,"\0","\2,660","\0"
2023年5月21日,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,*,本人,2023年6月,アド,1,1,"\2,659",,,"\0","\2,659","\0"
2023年5月21日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\106",,,"\0","\106","\0"
2023年5月21日,コウチヤセンモンテンラ．,*,本人,2023年6月,アド,1,1,"\3,910",,,"\0","\3,910","\0"
2023年5月21日,ジエイア－ルヒガシニホンエキナカジ／ＩＤ,*,本人,2023年6月,アド,1,1,"\130",,,"\0","\130","\0"
2023年5月22日,ホント,*,本人,2023年6月,アド,1,1,"\336",,,"\0","\336","\0"
2023年5月23日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\246",,,"\0","\246","\0"
2023年5月25日,ヤクルトトドケテネットカナガワチュウオウ,*,本人,2023年6月,アド,1,1,"\980",,,"\0","\980","\0"
2023年5月26日,ＰＡＹＰＡＬ　＊ＲＡＫＵＴＥＮ,*,本人,2023年6月,アド,1,1,"\11,358",,,"\0","\11,358","\0"
2023年5月27日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\429",,,"\0","\429","\0"
2023年5月27日,カ）モアザン,*,本人,2023年6月,アド,1,1,"\3,700",,,"\0","\3,700","\0"
2023年5月27日,ポルタ　アイデイ／ＩＤ,*,本人,2023年6月,アド,1,1,"\920",,,"\0","\920","\0"
2023年5月27日,ロ－ソン　ＬＴＦチヨウジヤマチ４／ＩＤ,*,本人,2023年6月,アド,1,1,"\111",,,"\0","\111","\0"
2023年5月29日,ＭＹＢヨコハマポートサイド／ＩＤ,*,本人,2023年6月,アド,1,1,"\1,042",,,"\0","\1,042","\0"
2023年5月30日,ＰＡＹＰＡＬ　＊ＳＰＯＴＩＦＹＵＮＩＴＥＤ　ＫＩＮＧＤＯ　　　　　　　　９８０　　　　　　　換算レート／　　　１．００００円,*,本人,2023年6月,アド,1,1,"\980",,,"\0","\980","\0"
2023年5月30日,メルカリ,*,本人,2023年6月,アド,1,1,"\4,466",,,"\0","\4,466","\0"
2023年5月31日,ＣＨＡＴＧＰＴ　ＳＵＢＳＣＲＩＰＴＩＯＮＵＮＩＴＥＤ　ＳＴＡＴＥＳ　　　　　　２０．００　　　　　　　換算レート／　１４４．０５００円,*,本人,2023年6月,アド,1,1,"\2,881",,,"\0","\2,881","\0"


